"COUNTRY","Country","INDICATOR","Indicator","YEAR","Year","Value","Flag Codes","Flags"
"ALB","Albania","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2000","2000",421.8510603483,,
"ALB","Albania","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2001","2001",393.85606202779,,
"ALB","Albania","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2002","2002",406.89218704496,,
"ALB","Albania","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2003","2003",345.60616065058,,
"ALB","Albania","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2004","2004",321.36586728992,,
"ALB","Albania","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2005","2005",295.71152114986,,
"ALB","Albania","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2006","2006",216.30629247029,,
"ALB","Albania","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2007","2007",197.09796461802,,
"ALB","Albania","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2008","2008",177.9394619233,,
"ALB","Albania","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2009","2009",192.08307148916,,
"ALB","Albania","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2010","2010",187.93693170222,,
"ALB","Albania","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2011","2011",182.71963407884,,
"ALB","Albania","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2012","2012",183.57308687554,,
"ALB","Albania","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2013","2013",193.01163601232,,
"ALB","Albania","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2014","2014",187.37665247383,,
"ALB","Albania","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2015","2015",215.16383580247,,
"ALB","Albania","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2016","2016",194.07674036607,,
"ALB","Albania","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2017","2017",177.56531786515,,
"ALB","Albania","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2018","2018",145.63257078144,,
"ALB","Albania","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2019","2019",141.99199423282,,
"ALB","Albania","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2020","2020",101.06811734982,,
"ALB","Albania","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2021","2021",97.525537450282,,
"ALB","Albania","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2000","2000",0.47628007136228,,
"ALB","Albania","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2001","2001",0.50540574013299,,
"ALB","Albania","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2002","2002",0.58091156698929,,
"ALB","Albania","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2003","2003",0.63234171684844,,
"ALB","Albania","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2004","2004",0.76197571209727,,
"ALB","Albania","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2005","2005",0.79066985844535,,
"ALB","Albania","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2006","2006",0.64302315051359,,
"ALB","Albania","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2007","2007",0.70857473206382,,
"ALB","Albania","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2008","2008",0.77769148451777,,
"ALB","Albania","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2009","2009",0.79025550303858,,
"ALB","Albania","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2010","2010",0.7694795197151,,
"ALB","Albania","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2011","2011",0.81075280661023,,
"ALB","Albania","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2012","2012",0.77975079997559,,
"ALB","Albania","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2013","2013",0.85177258615616,,
"ALB","Albania","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2014","2014",0.85792896344334,,
"ALB","Albania","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2015","2015",0.85050038133053,,
"ALB","Albania","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2016","2016",0.80038322715371,,
"ALB","Albania","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2017","2017",0.80455214746558,,
"ALB","Albania","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2018","2018",0.77005563819959,,
"ALB","Albania","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2019","2019",0.76621921938651,,
"ALB","Albania","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2020","2020",0.54001076167196,,
"ALB","Albania","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2021","2021",0.62194015932191,,
"ALB","Albania","IND-ENE-SHARE","Share of CO2 emissions from transport in total CO2 emissions","2000","2000",47.568966080273,,
"ALB","Albania","IND-ENE-SHARE","Share of CO2 emissions from transport in total CO2 emissions","2001","2001",47.820698930965,,
"ALB","Albania","IND-ENE-SHARE","Share of CO2 emissions from transport in total CO2 emissions","2002","2002",47.113925901313,,
"ALB","Albania","IND-ENE-SHARE","Share of CO2 emissions from transport in total CO2 emissions","2003","2003",50.119060656789,,
"ALB","Albania","IND-ENE-SHARE","Share of CO2 emissions from transport in total CO2 emissions","2004","2004",57.34484943973,,
"ALB","Albania","IND-ENE-SHARE","Share of CO2 emissions from transport in total CO2 emissions","2005","2005",62.016486736382,,
"ALB","Albania","IND-ENE-SHARE","Share of CO2 emissions from transport in total CO2 emissions","2006","2006",50.559131348902,,
"ALB","Albania","IND-ENE-SHARE","Share of CO2 emissions from transport in total CO2 emissions","2007","2007",55.517790008492,,
"ALB","Albania","IND-ENE-SHARE","Share of CO2 emissions from transport in total CO2 emissions","2008","2008",61.522639709557,,
"ALB","Albania","IND-ENE-SHARE","Share of CO2 emissions from transport in total CO2 emissions","2009","2009",61.151310563835,,
"ALB","Albania","IND-ENE-SHARE","Share of CO2 emissions from transport in total CO2 emissions","2010","2010",56.779891572802,,
"ALB","Albania","IND-ENE-SHARE","Share of CO2 emissions from transport in total CO2 emissions","2011","2011",56.617935332729,,
"ALB","Albania","IND-ENE-SHARE","Share of CO2 emissions from transport in total CO2 emissions","2012","2012",64.583919343992,,
"ALB","Albania","IND-ENE-SHARE","Share of CO2 emissions from transport in total CO2 emissions","2013","2013",67.258217650141,,
"ALB","Albania","IND-ENE-SHARE","Share of CO2 emissions from transport in total CO2 emissions","2014","2014",59.826861100759,,
"ALB","Albania","IND-ENE-SHARE","Share of CO2 emissions from transport in total CO2 emissions","2015","2015",63.75445298249,,
"ALB","Albania","IND-ENE-SHARE","Share of CO2 emissions from transport in total CO2 emissions","2016","2016",62.337989761004,,
"ALB","Albania","IND-ENE-SHARE","Share of CO2 emissions from transport in total CO2 emissions","2017","2017",52.629331196452,,
"ALB","Albania","IND-ENE-SHARE","Share of CO2 emissions from transport in total CO2 emissions","2018","2018",50.296833645324,,
"ALB","Albania","IND-ENE-SHARE","Share of CO2 emissions from transport in total CO2 emissions","2019","2019",53.790549164205,,
"ALB","Albania","IND-ENE-SHARE","Share of CO2 emissions from transport in total CO2 emissions","2020","2020",45.169559492829,,
"ALB","Albania","IND-ENE-SHARE","Share of CO2 emissions from transport in total CO2 emissions","2021","2021",44.941600191004,,
"ALB","Albania","IND-ENE-ROAD","Share of CO2 emissions from road in total CO2 emissions from transport","2000","2000",89.051087448564,,
"ALB","Albania","IND-ENE-ROAD","Share of CO2 emissions from road in total CO2 emissions from transport","2001","2001",89.600220867448,,
"ALB","Albania","IND-ENE-ROAD","Share of CO2 emissions from road in total CO2 emissions from transport","2002","2002",87.781650188702,,
"ALB","Albania","IND-ENE-ROAD","Share of CO2 emissions from road in total CO2 emissions from transport","2003","2003",91.149101284236,,
"ALB","Albania","IND-ENE-ROAD","Share of CO2 emissions from road in total CO2 emissions from transport","2004","2004",92.401062410089,,
"ALB","Albania","IND-ENE-ROAD","Share of CO2 emissions from road in total CO2 emissions from transport","2005","2005",92.240115039654,,
"ALB","Albania","IND-ENE-ROAD","Share of CO2 emissions from road in total CO2 emissions from transport","2006","2006",90.239450973015,,
"ALB","Albania","IND-ENE-ROAD","Share of CO2 emissions from road in total CO2 emissions from transport","2007","2007",90.563887784102,,
"ALB","Albania","IND-ENE-ROAD","Share of CO2 emissions from road in total CO2 emissions from transport","2008","2008",88.70734753835,,
"ALB","Albania","IND-ENE-ROAD","Share of CO2 emissions from road in total CO2 emissions from transport","2009","2009",98.32140905853,,
"ALB","Albania","IND-ENE-ROAD","Share of CO2 emissions from road in total CO2 emissions from transport","2010","2010",98.398267239495,,
"ALB","Albania","IND-ENE-ROAD","Share of CO2 emissions from road in total CO2 emissions from transport","2011","2011",96.903109669503,,
"ALB","Albania","IND-ENE-ROAD","Share of CO2 emissions from road in total CO2 emissions from transport","2012","2012",97.055124934228,,
"ALB","Albania","IND-ENE-ROAD","Share of CO2 emissions from road in total CO2 emissions from transport","2013","2013",95.523447257863,,
"ALB","Albania","IND-ENE-ROAD","Share of CO2 emissions from road in total CO2 emissions from transport","2014","2014",95.418385683151,,
"ALB","Albania","IND-ENE-ROAD","Share of CO2 emissions from road in total CO2 emissions from transport","2015","2015",95.489377924188,,
"ALB","Albania","IND-ENE-ROAD","Share of CO2 emissions from road in total CO2 emissions from transport","2016","2016",95.065689016817,,
"ALB","Albania","IND-ENE-ROAD","Share of CO2 emissions from road in total CO2 emissions from transport","2017","2017",94.948668726204,,
"ALB","Albania","IND-ENE-ROAD","Share of CO2 emissions from road in total CO2 emissions from transport","2018","2018",94.487622487336,,
"ALB","Albania","IND-ENE-ROAD","Share of CO2 emissions from road in total CO2 emissions from transport","2019","2019",94.483743465744,,
"ALB","Albania","IND-ENE-ROAD","Share of CO2 emissions from road in total CO2 emissions from transport","2020","2020",92.76161540625,,
"ALB","Albania","IND-ENE-ROAD","Share of CO2 emissions from road in total CO2 emissions from transport","2021","2021",93.293886616709,,
"ALB","Albania","IND-ENE-RAIL","Share of CO2 emissions from rail in total CO2 emissions from transport","2000","2000",6.6825172201446,,
"ALB","Albania","IND-ENE-RAIL","Share of CO2 emissions from rail in total CO2 emissions from transport","2001","2001",5.9466749944557,,
"ALB","Albania","IND-ENE-RAIL","Share of CO2 emissions from rail in total CO2 emissions from transport","2002","2002",5.1892751331976,,
"ALB","Albania","IND-ENE-RAIL","Share of CO2 emissions from rail in total CO2 emissions from transport","2003","2003",4.6200566470837,,
"ALB","Albania","IND-ENE-RAIL","Share of CO2 emissions from rail in total CO2 emissions from transport","2004","2004",2.6125819114537,,
"ALB","Albania","IND-ENE-RAIL","Share of CO2 emissions from rail in total CO2 emissions from transport","2005","2005",2.5306876004791,,
"ALB","Albania","IND-ENE-RAIL","Share of CO2 emissions from rail in total CO2 emissions from transport","2006","2006",3.1314618425518,,
"ALB","Albania","IND-ENE-RAIL","Share of CO2 emissions from rail in total CO2 emissions from transport","2007","2007",3.6168571888814,,
"ALB","Albania","IND-ENE-RAIL","Share of CO2 emissions from rail in total CO2 emissions from transport","2008","2008",4.5660727864959,,
"ALB","Albania","IND-ENE-RAIL","Share of CO2 emissions from rail in total CO2 emissions from transport","2009","2009",0.4112405164842,,
"ALB","Albania","IND-ENE-RAIL","Share of CO2 emissions from rail in total CO2 emissions from transport","2010","2010",0.42444602076279,,
"ALB","Albania","IND-ENE-RAIL","Share of CO2 emissions from rail in total CO2 emissions from transport","2011","2011",0.40392375801086,,
"ALB","Albania","IND-ENE-RAIL","Share of CO2 emissions from rail in total CO2 emissions from transport","2012","2012",0.42067748796201,,
"ALB","Albania","IND-ENE-RAIL","Share of CO2 emissions from rail in total CO2 emissions from transport","2013","2013",0.38581323298026,,
"ALB","Albania","IND-ENE-RAIL","Share of CO2 emissions from rail in total CO2 emissions from transport","2014","2014",0.2559058453688,,
"ALB","Albania","IND-ENE-RAIL","Share of CO2 emissions from rail in total CO2 emissions from transport","2015","2015",0.25889383801646,,
"ALB","Albania","IND-ENE-RAIL","Share of CO2 emissions from rail in total CO2 emissions from transport","2016","2016",0.27554504094948,,
"ALB","Albania","IND-ENE-RAIL","Share of CO2 emissions from rail in total CO2 emissions from transport","2017","2017",0.28808147255483,,
"ALB","Albania","IND-ENE-RAIL","Share of CO2 emissions from rail in total CO2 emissions from transport","2018","2018",0.30173032829256,,
"ALB","Albania","IND-ENE-RAIL","Share of CO2 emissions from rail in total CO2 emissions from transport","2019","2019",0.30453566085153,,
"ALB","Albania","IND-ENE-RAIL","Share of CO2 emissions from rail in total CO2 emissions from transport","2020","2020",0.43459280416113,,
"ALB","Albania","IND-ENE-RAIL","Share of CO2 emissions from rail in total CO2 emissions from transport","2021","2021",0.38085696247701,,
"ALB","Albania","IND-ENE-MAR","Share of CO2 emissions from international maritime bunkers in total CO2 emissions","2013","2013",1.7300316086021,,
"ALB","Albania","IND-ENE-MAR","Share of CO2 emissions from international maritime bunkers in total CO2 emissions","2014","2014",1.5310043465752,,
"ALB","Albania","IND-ENE-MAR","Share of CO2 emissions from international maritime bunkers in total CO2 emissions","2015","2015",1.6505635023277,,
"ALB","Albania","IND-ENE-MAR","Share of CO2 emissions from international maritime bunkers in total CO2 emissions","2016","2016",2.9200499899127,,
"ALB","Albania","IND-ENE-MAR","Share of CO2 emissions from international maritime bunkers in total CO2 emissions","2017","2017",2.5991560989324,,
"ALB","Albania","IND-ENE-MAR","Share of CO2 emissions from international maritime bunkers in total CO2 emissions","2018","2018",2.2403175583373,,
"ALB","Albania","IND-ENE-MAR","Share of CO2 emissions from international maritime bunkers in total CO2 emissions","2019","2019",2.418210515364,,
"ALB","Albania","IND-ENE-MAR","Share of CO2 emissions from international maritime bunkers in total CO2 emissions","2020","2020",2.8978663914878,,
"ALB","Albania","IND-ENE-MAR","Share of CO2 emissions from international maritime bunkers in total CO2 emissions","2021","2021",2.3457841292637,,
"ALB","Albania","IND-ENE-AVIA-INT","Share of CO2 emissions from international aviation bunkers in total CO2 emissions","2000","2000",3.9762537016697,,
"ALB","Albania","IND-ENE-AVIA-INT","Share of CO2 emissions from international aviation bunkers in total CO2 emissions","2001","2001",4.0876253198216,,
"ALB","Albania","IND-ENE-AVIA-INT","Share of CO2 emissions from international aviation bunkers in total CO2 emissions","2002","2002",3.5142847649111,,
"ALB","Albania","IND-ENE-AVIA-INT","Share of CO2 emissions from international aviation bunkers in total CO2 emissions","2003","2003",3.7679594891291,,
"ALB","Albania","IND-ENE-AVIA-INT","Share of CO2 emissions from international aviation bunkers in total CO2 emissions","2004","2004",3.6691490491107,,
"ALB","Albania","IND-ENE-AVIA-INT","Share of CO2 emissions from international aviation bunkers in total CO2 emissions","2005","2005",4.564351664952,,
"ALB","Albania","IND-ENE-AVIA-INT","Share of CO2 emissions from international aviation bunkers in total CO2 emissions","2006","2006",3.6351354298339,,
"ALB","Albania","IND-ENE-AVIA-INT","Share of CO2 emissions from international aviation bunkers in total CO2 emissions","2007","2007",1.5410330553767,,
"ALB","Albania","IND-ENE-AVIA-INT","Share of CO2 emissions from international aviation bunkers in total CO2 emissions","2008","2008",2.1456014593,,
"ALB","Albania","IND-ENE-AVIA-INT","Share of CO2 emissions from international aviation bunkers in total CO2 emissions","2009","2009",1.5440554723372,,
"ALB","Albania","IND-ENE-AVIA-INT","Share of CO2 emissions from international aviation bunkers in total CO2 emissions","2010","2010",1.3239547505673,,
"ALB","Albania","IND-ENE-AVIA-INT","Share of CO2 emissions from international aviation bunkers in total CO2 emissions","2011","2011",1.4780692170993,,
"ALB","Albania","IND-ENE-AVIA-INT","Share of CO2 emissions from international aviation bunkers in total CO2 emissions","2012","2012",1.7559616024399,,
"ALB","Albania","IND-ENE-AVIA-INT","Share of CO2 emissions from international aviation bunkers in total CO2 emissions","2013","2013",1.7609883463565,,
"ALB","Albania","IND-ENE-AVIA-INT","Share of CO2 emissions from international aviation bunkers in total CO2 emissions","2014","2014",0.59367149469278,,
"ALB","Albania","IND-ENE-AVIA-INT","Share of CO2 emissions from international aviation bunkers in total CO2 emissions","2015","2015",0.16000811880518,,
"ALB","Albania","IND-ENE-AVIA-INT","Share of CO2 emissions from international aviation bunkers in total CO2 emissions","2016","2016",0.49954708489213,,
"ALB","Albania","IND-ENE-AVIA-INT","Share of CO2 emissions from international aviation bunkers in total CO2 emissions","2017","2017",0.50952775004866,,
"ALB","Albania","IND-ENE-AVIA-INT","Share of CO2 emissions from international aviation bunkers in total CO2 emissions","2018","2018",0.46868110521057,,
"ALB","Albania","IND-ENE-AVIA-INT","Share of CO2 emissions from international aviation bunkers in total CO2 emissions","2019","2019",1.5880605590593,,
"ALB","Albania","IND-ENE-AVIA-INT","Share of CO2 emissions from international aviation bunkers in total CO2 emissions","2020","2020",1.4318082072023,,
"ALB","Albania","IND-ENE-AVIA-INT","Share of CO2 emissions from international aviation bunkers in total CO2 emissions","2021","2021",1.2682011902782,,
"ARM","Armenia","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2000","2000",298.28973690462,,
"ARM","Armenia","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2001","2001",267.72633773539,,
"ARM","Armenia","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2002","2002",228.4026218624,,
"ARM","Armenia","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2003","2003",208.55936919966,,
"ARM","Armenia","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2004","2004",169.77502687752,,
"ARM","Armenia","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2005","2005",137.04299107145,,
"ARM","Armenia","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2006","2006",104.16351984967,,
"ARM","Armenia","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2007","2007",115.02893177316,,
"ARM","Armenia","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2008","2008",107.90950160036,,
"ARM","Armenia","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2009","2009",132.13521190361,,
"ARM","Armenia","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2010","2010",136.39028345859,,
"ARM","Armenia","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2011","2011",127.67883296466,,
"ARM","Armenia","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2012","2012",122.49286349181,,
"ARM","Armenia","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2013","2013",114.93477393014,,
"ARM","Armenia","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2014","2014",146.92192209792,,
"ARM","Armenia","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2015","2015",156.90363315321,,
"ARM","Armenia","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2016","2016",149.83108163799,,
"ARM","Armenia","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2017","2017",145.18516541446,,
"ARM","Armenia","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2018","2018",144.57766677541,,
"ARM","Armenia","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2019","2019",151.16925460063,,
"ARM","Armenia","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2020","2020",178.85642370168,,
"ARM","Armenia","IND-ENE-GDP","CO2 emissions from transport in tonnes per one million units of current USD GDP","2021","2021",170.69955211336,,
"ARM","Armenia","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2000","2000",0.17995766481733,,
"ARM","Armenia","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2001","2001",0.18101721184514,,
"ARM","Armenia","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2002","2002",0.17479920529127,,
"ARM","Armenia","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2003","2003",0.18982705500661,,
"ARM","Armenia","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2004","2004",0.19806572301349,,
"ARM","Armenia","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2005","2005",0.22038752368532,,
"ARM","Armenia","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2006","2006",0.21973569347421,,
"ARM","Armenia","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2007","2007",0.35248085054119,,
"ARM","Armenia","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2008","2008",0.42181274449701,,
"ARM","Armenia","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2009","2009",0.38548680698554,,
"ARM","Armenia","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2010","2010",0.42867868199123,,
"ARM","Armenia","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2011","2011",0.44211116786208,,
"ARM","Armenia","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2012","2012",0.44632913364267,,
"ARM","Armenia","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2013","2013",0.440563041444,,
"ARM","Armenia","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2014","2014",0.59021914025599,,
"ARM","Armenia","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2015","2015",0.57523097205408,,
"ARM","Armenia","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2016","2016",0.55137124084255,,
"ARM","Armenia","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2017","2017",0.58683772317836,,
"ARM","Armenia","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2018","2018",0.63497401955963,,
"ARM","Armenia","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2019","2019",0.72992148484614,,
"ARM","Armenia","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2020","2020",0.80590339063761,,
"ARM","Armenia","IND-ENE-PC","CO2 emissions from transport in tonnes per inhabitant","2021","2021",0.84778217210193,,
"ARM","Armenia","IND-ENE-SHARE","Share of CO2 emissions from transport in total CO2 emissions","2000","2000",16.661557940407,,
"ARM","Armenia","IND-ENE-SHARE","Share of CO2 emissions from transport in total CO2 emissions","2001","2001",16.398737720124,,
"ARM","Armenia","IND-ENE-SHARE","Share of CO2 emissions from transport in total CO2 emissions","2002","2002",18.668857021881,,
"ARM","Armenia","IND-ENE-SHARE","Share of CO2 emissions from transport in total CO2 emissions","2003","2003",17.874871078386,,
"ARM","Armenia","IND-ENE-SHARE","Share of CO2 emissions from transport in total CO2 emissions","2004","2004",17.521783957277,,
"ARM","Armenia","IND-ENE-SHARE","Share of CO2 emissions from transport in total CO2 emissions","2005","2005",16.261506182435,,
"ARM","Armenia","IND-ENE-SHARE","Share of CO2 emissions from transport in total CO2 emissions","2006","2006",16.020793905311,,
"ARM","Armenia","IND-ENE-SHARE","Share of CO2 emissions from transport in total CO2 emissions","2007","2007",22.073174341207,,
"ARM","Armenia","IND-ENE-SHARE","Share of CO2 emissions from transport in total CO2 emissions","2008","2008",23.864377659615,,
"ARM","Armenia","IND-ENE-SHARE","Share of CO2 emissions from transport in total CO2 emissions","2009","2009",26.764344562271,,
"ARM","Armenia","IND-ENE-SHARE","Share of CO2 emissions from transport in total CO2 emissions","2010","2010",31.198964096365,,
"ARM","Armenia","IND-ENE-SHARE","Share of CO2 emissions from transport in total CO2 emissions","2011","2011",27.712053655024,,
"ARM","Armenia","IND-ENE-SHARE","Share of CO2 emissions from transport in total CO2 emissions","2012","2012",23.917873309782,,
"ARM","Armenia","IND-ENE-SHARE","Share of CO2 emissions from transport in total CO2 emissions","2013","2013",24.381415356303,,
"ARM","Armenia","IND-ENE-SHARE","Share of CO2 emissions from transport in total CO2 emissions","2014","2014",32.580223709544,,
"ARM","Armenia","IND-ENE-SHARE","Share of CO2 emissions from transport in total CO2 emissions","2015","2015",32.450401079265,,
"ARM","Armenia","IND-ENE-SHARE","Share of CO2 emissions from transport in total CO2 emissions","2016","2016",32.165135937652,,
"ARM","Armenia","IND-ENE-SHARE","Share of CO2 emissions from transport in total CO2 emissions","2017","2017",32.398008517172,,
"ARM","Armenia","IND-ENE-SHARE","Share of CO2 emissions from transport in total CO2 emissions","2018","2018",33.370963071165,,
"ARM","Armenia","IND-ENE-SHARE","Share of CO2 emissions from transport in total CO2 emissions","2019","2019",35.165590084306,,
"ARM","Armenia","IND-ENE-SHARE","Share of CO2 emissions from transport in total CO2 emissions","2020","2020",35.696351094185,,
"ARM","Armenia","IND-ENE-SHARE","Share of CO2 emissions from transport in total CO2 emissions","2021","2021",34.491867915804,,
"ARM","Armenia","IND-ENE-AVIA-INT","Share of CO2 emissions from international aviation bunkers in total CO2 emissions","2000","2000",5.4801681584245,,
"ARM","Armenia","IND-ENE-AVIA-INT","Share of CO2 emissions from international aviation bunkers in total CO2 emissions","2001","2001",5.1560154332625,,
"ARM","Armenia","IND-ENE-AVIA-INT","Share of CO2 emissions from international aviation bunkers in total CO2 emissions","2002","2002",5.3933025624198,,
"ARM","Armenia","IND-ENE-AVIA-INT","Share of CO2 emissions from international aviation bunkers in total CO2 emissions","2003","2003",2.4406410999357,,
"ARM","Armenia","IND-ENE-AVIA-INT","Share of CO2 emissions from international aviation bunkers in total CO2 emissions","2004","2004",3.3712508032731,,
"ARM","Armenia","IND-ENE-AVIA-INT","Share of CO2 emissions from international aviation bunkers in total CO2 emissions","2005","2005",3.2756193029036,,
"ARM","Armenia","IND-ENE-AVIA-INT","Share of CO2 emissions from international aviation bunkers in total CO2 emissions","2006","2006",2.8885884543187,,
"ARM","Armenia","IND-ENE-AVIA-INT","Share of CO2 emissions from international aviation bunkers in total CO2 emissions","2007","2007",3.5886825975616,,
"ARM","Armenia","IND-ENE-AVIA-INT","Share of CO2 emissions from international aviation bunkers in total CO2 emissions","2008","2008",3.2649640074943,,
"ARM","Armenia","IND-ENE-AVIA-INT","Share of CO2 emissions from international aviation bunkers in total CO2 emissions","2009","2009",2.0883363879634,,
"ARM","Armenia","IND-ENE-AVIA-INT","Share of CO2 emissions from international aviation bunkers in total CO2 emissions","2010","2010",3.2656802823341,,
"ARM","Armenia","IND-ENE-AVIA-INT","Share of CO2 emissions from international aviation bunkers in total CO2 emissions","2011","2011",2.8950001230522,,
"ARM","Armenia","IND-ENE-AVIA-INT","Share of CO2 emissions from international aviation bunkers in total CO2 emissions","2012","2012",2.6569837345201,,
"ARM","Armenia","IND-ENE-AVIA-INT","Share of CO2 emissions from international aviation bunkers in total CO2 emissions","2013","2013",2.6976016528907,,
"ARM","Armenia","IND-ENE-AVIA-INT","Share of CO2 emissions from international aviation bunkers in total CO2 emissions","2014","2014",2.4664779499404,,
"ARM","Armenia","IND-ENE-AVIA-INT","Share of CO2 emissions from international aviation bunkers in total CO2 emissions","2015","2015",1.8509496481493,,
"ARM","Armenia","IND-ENE-AVIA-INT","Share of CO2 emissions from international aviation bunkers in total CO2 emissions","2016","2016",2.7280964006104,,
